City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,glace bay,46.1969,-59.957,32.97,87,75,21.85,CA,1735248144
160,nova sintra,14.8667,-24.7167,75.0,72,0,13.87,CV,1735248145
161,sicuani,-14.2694,-71.2261,66.97,36,91,10.4,PE,1735248147
162,pisco,-13.7,-76.2167,75.25,64,0,18.41,PE,1735247936
163,carutapera,-1.195,-46.02,80.78,75,57,9.42,BR,1735248150
164,inari,68.906,27.0288,28.54,88,30,17.81,FI,1735248151
165,kirksville,40.1948,-92.5833,46.35,96,100,8.05,US,1735248152
166,rio grande,-32.035,-52.0986,73.67,64,51,12.37,BR,1735248154
167,tralee,52.2704,-9.7026,51.28,94,100,4.14,IE,1735248114
168,ilulissat,69.2167,-51.1,5.02,56,100,11.5,GL,1735248157
169,lospalos,-8.5186,127.0025,71.96,92,92,2.15,TL,1735248158
170,guacimo,10.2104,-83.6807,81.86,70,100,2.39,CR,1735248159
171,cabo san lucas,22.8909,-109.9124,77.31,51,0,8.99,MX,1735248161
172,jingdezhen,29.2947,117.2079,46.49,51,100,3.11,CN,1735248162
173,vila franca do campo,37.7167,-25.4333,64.89,99,100,5.06,PT,1735248163
174,whitehorse,60.7161,-135.0538,34.57,69,100,16.11,CA,1735248164
175,kavaratti,10.5669,72.642,81.18,75,21,10.22,IN,1735247953
176,turabah,21.2141,41.6331,66.0,26,43,8.99,SA,1735248167
177,kill devil hills,36.0307,-75.676,45.99,76,100,14.97,US,1735248168
178,guerrero negro,27.9769,-114.0611,66.81,51,26,4.32,MX,1735248169
179,puerto baquerizo moreno,-0.9,-89.6,79.79,65,75,14.97,EC,1735248170
180,kudahuvadhoo,2.6708,72.8944,81.19,78,86,11.83,MV,1735248171
181,port lincoln,-34.7333,135.8667,60.26,57,71,11.03,AU,1735248172
182,siguiri,11.6667,-9.5,76.17,13,100,4.41,GN,1735248173
183,mugia,43.1041,-9.2179,54.95,81,1,5.82,ES,1735248175
184,mount pearl,47.5166,-52.7813,36.14,97,100,18.41,CA,1735248176
185,pemangkat,1.1667,108.9667,77.43,89,100,3.85,ID,1735248177
186,farafangana,-22.8167,47.8333,76.75,87,80,6.55,MG,1735248179
187,kimberley,-28.7323,24.7623,77.85,46,49,14.76,ZA,1735248180
188,konarka,19.9,86.1167,68.02,54,1,8.9,IN,1735248181
189,deir ez-zor,35.3359,40.1408,52.29,66,71,11.65,SY,1735248183
190,agropoli,40.3469,14.9966,46.38,79,19,7.43,IT,1735248184
191,kirillov,59.863,38.3813,36.37,99,100,10.78,RU,1735248185
192,dudinka,69.4058,86.1778,-17.3,99,93,7.9,RU,1735248186
193,brigantine,39.4101,-74.3646,39.15,72,100,4.61,US,1735248183
194,novaya igirma,57.1334,103.9112,15.33,94,100,8.03,RU,1735248189
195,arar,30.9753,41.0381,51.82,62,0,6.91,SA,1735248190
196,mata-utu,-13.2816,-176.1745,83.25,70,99,13.47,WF,1735248191
197,tiksi,71.6872,128.8694,-10.8,99,97,7.25,RU,1735248192
198,majuro,7.0897,171.3803,85.96,74,100,23.02,MH,1735248194
199,verkh-chebula,56.0308,87.6218,6.78,87,97,4.83,RU,1735248195
200,klyuchi,52.2667,79.1667,13.44,76,100,13.94,RU,1735248196
201,usogorsk,63.4106,48.6872,31.12,97,100,11.41,RU,1735248197
202,anadyr,64.75,177.4833,-23.3,76,0,11.18,RU,1735248198
203,taltal,-25.4,-70.4833,68.36,69,27,4.32,CL,1735248200
204,madimba,-10.4,40.3333,79.52,72,43,6.82,TZ,1735248201
205,hindoria,23.9,79.5667,63.34,57,57,7.31,IN,1735248202
206,booue,-0.0921,11.9385,75.04,95,100,2.13,GA,1735248203
207,hawaiian paradise park,19.5933,-154.9731,80.87,71,100,9.22,US,1735248205
208,birjand,32.8663,59.2211,28.87,50,0,6.91,IR,1735248206
209,twon-brass,4.3151,6.2418,81.99,81,75,12.21,NG,1735248207
210,tavda,58.0425,65.2726,16.95,90,100,9.37,RU,1735248209
211,kuanda,56.3161,116.0806,-10.05,100,100,0.47,RU,1735248210
212,ust'-kut,56.7938,105.7672,15.64,94,100,7.38,RU,1735247916
213,sarmiento,-45.5882,-69.07,85.71,22,34,27.47,AR,1735248212
214,yuzhno-sakhalinsk,46.9581,142.7337,17.22,67,75,17.9,RU,1735248213
215,hanting,36.7708,119.2108,27.01,35,92,6.38,CN,1735248214
216,keflavik,64.0049,-22.5624,39.63,81,75,33.38,IS,1735248216
217,saladan,7.6134,99.0365,76.84,87,97,9.06,TH,1735248217
218,naze,28.3667,129.4833,58.12,58,41,14.67,JP,1735248218
219,revda,56.801,59.9303,14.18,91,100,12.37,RU,1735248219
220,hono,57.6897,11.6497,44.51,99,58,15.97,SE,1735248220
221,bayeux,-7.125,-34.9322,81.23,74,20,11.5,BR,1735248221
222,diphu,25.8333,93.4333,52.16,86,0,0.65,IN,1735248222
223,wotho,10.1657,166.0102,81.34,72,83,23.35,MH,1735248224
224,salalah,17.0151,54.0924,75.29,31,0,10.36,OM,1735248225
225,kidal,18.4411,1.4078,72.77,12,98,7.23,ML,1735248226
226,margate,51.3813,1.3862,44.87,91,56,0.78,GB,1735247951
227,lazaro cardenas,17.9583,-102.2,82.49,56,0,12.44,MX,1735248228
228,gorontalo,0.5412,123.0595,74.1,95,100,2.51,ID,1735248229
229,smithers,54.7804,-127.1743,34.12,86,100,0.0,CA,1735248230
230,chonchi,-42.6128,-73.8092,69.12,74,100,5.66,CL,1735248232
231,touros,-5.1989,-35.4608,80.38,72,98,13.69,BR,1735248233
232,taroa,8.7058,171.2275,81.03,81,63,24.2,MH,1735248234
233,tanjungtiram,4.0613,98.3699,73.71,90,100,3.09,ID,1735248235
234,hobyo,5.3505,48.5268,76.1,75,71,18.9,SO,1735248238
235,norilsk,69.3535,88.2027,-16.6,98,78,8.14,RU,1735248239
236,nar'yan-mar,67.6713,53.087,22.5,90,100,12.91,RU,1735248240
237,taytay,14.5678,121.1394,78.73,94,75,1.14,PH,1735248241
238,san antonio de pale,-1.4014,5.6325,78.82,82,59,4.74,GQ,1735248242
239,san patricio,28.017,-97.5169,82.35,72,100,8.68,US,1735248243
240,aykhal,66.0,111.5,-5.93,99,100,4.09,RU,1735248245
241,cooper's town,26.8667,-77.5167,72.07,83,60,9.37,BS,1735248246
242,tura,25.5198,90.2201,56.88,68,0,4.63,IN,1735248247
243,labytnangi,66.6572,66.4183,10.63,96,100,5.84,RU,1735248248
244,island harbour,50.724,-1.2758,47.98,72,99,3.0,GB,1735248250
245,viedma,-40.8135,-62.9967,77.14,38,89,18.03,AR,1735248185
246,badger,64.8,-147.5333,3.45,71,20,0.0,US,1735248252
247,bulancak,40.9372,38.2291,51.62,76,75,1.14,TR,1735248253
248,arkhangel'sk,64.5401,40.5433,35.71,80,40,22.37,RU,1735248255
249,hastings,50.8552,0.5729,44.98,65,93,1.97,GB,1735248256
250,axim,4.8699,-2.2405,80.38,82,20,7.09,GH,1735248257
251,fort bragg,35.139,-79.006,51.82,57,100,8.05,US,1735248258
252,alenquer,-1.9417,-54.7383,89.17,47,82,5.32,BR,1735248259
253,neon karlovasion,37.7903,26.7044,57.9,79,82,11.52,GR,1735248260
254,nabire,-3.3667,135.4833,76.01,91,100,2.24,ID,1735248263
255,dunedin,-45.8742,170.5036,56.86,71,14,5.1,NZ,1735248264
